Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost","Shipping Groups","Origin Locations","Dimensional Rules",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Product,112,"Filtro de alto flujo Audi/Seat/Volkswagen 1.8T/2.0T",physical,EVO3005,,product,2,1,10120.00,0.00,0.00,9040.00,38,1;769857,273;279;280,"<p style=""text-align: justify;"">El sistema de admisi&oacute;n de aire fr&iacute;o EVO3005 presenta un dise&ntilde;o de caja de 2 piezas que incorpora nuestro plenum de impulso, nuestra toma de aire ram completamente integrada con entradas dobles funcionales y un enorme filtro de aire seco SuperNano-Web de 360&deg;. Cada sistema de inducci&oacute;n de aire Injen Evolution utiliza los filtros de aire seco SuperNano-Web patentados por Injen. No conf&iacute;e en nuestra palabra, cada sistema de admisi&oacute;n que produce Injen Technology es 100% probado internamente y esos resultados se publican para que todos los vean.</p>
<p style=""text-align: justify;"">Aplicaciones:</p>
<ul>
<li style=""text-align: justify;"">Audi A3 (8V) 1.8T/2.0T TFSI 2015-2020</li>
<li style=""text-align: justify;"">Audi S3 Quattro (8V) 2.0T 2015-2020</li>
<li style=""text-align: justify;"">Seat Leon Cupra 2.0T TSI MK3 2015-2020</li>
<li style=""text-align: justify;"">Volkswagen Golf GTI 2.0T MK7 2015-2020</li>
<li style=""text-align: justify;"">Volkswagen Golf R 2.0T MK7 2015-2020</li>
</ul>",,,/filtro-de-alto-flujo-audi-seat-volkswagen-1-8t-2-0t/,,,,,,,,FALSE,400.00,,,,4.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/112/images/879/EVO3005__61388.1729227689.386.513.jpg?c=1,,,TRUE,1,,,,
Product,113,"Válvula de alivio Audi/Seat/Volkswagen MQB 2.0T",physical,TS-0223-1063,,product,2,1,6090.00,0.00,0.00,5440.00,39,1;769857,273;279;280,"<p align=""justify"">La serie de v&aacute;lvulas Kompact EM de Turbosmart posee la tecnolog&iacute;a de v&aacute;lvulas de alivio probada en el automovilismo y agrega un sistema de solenoide patentado a bordo junto a canales de control de presi&oacute;n internos, para una v&aacute;lvula plug &amp; play, simple con integraci&oacute;n y control completo del funcionamiento OEM. No hay mangueras de referencia, ni solenoides separados, ni piezas complicadas, &iexcl;solo atornilla y conecta!</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Audi A3 (8V) 1.8T/2.0T TFSI 2015-2020</li>
<li align=""justify"">Audi S3 Quattro (8V) 2.0T 2015-2020</li>
<li align=""justify"">Seat Leon Cupra 2.0T TSI MK3 2015-2020</li>
<li align=""justify"">Volkswagen Golf GTI 2.0T MK7 2015-2020</li>
<li align=""justify"">Volkswagen Golf R 2.0T MK7 2015-2020</li>
</ul>",,,/valvula-de-alivio-audi-seat-volkswagen-mqb-2-0t/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/113/images/878/TS-0223-1063__16428.1729227689.386.513.jpg?c=1,,,TRUE,1,,,,
Product,114,"Kit inyector dual para agua/metanol",physical,30-3315,,product,2,1,2170.00,0.00,0.00,1930.00,52,1;769857,213,"<p align=""justify"">Las bocas de inyecci&oacute;n de agua metanol de AEM Electronics est&aacute;n disponibles en diferentes tama&ntilde;os que le permiten seleccionar la cantidad apropiada para su nivel de potencia. Las bocas se pueden reparar y se pueden desmontar para limpiarlas.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Universal</li>
</ul>",,,/kit-inyector-dual-para-agua-metanol/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/114/images/877/30-3315_2__76872.1729227690.386.513.png?c=1,,,TRUE,0,,,,
Product,115,"Filtro de aire de reemplazo Ford Focus RS 2.3T 2016-2018",physical,AE-20993,,product,2,1,2420.00,0.00,0.00,2160.00,52,1;769857,214,"<p align=""justify"">Las bocas de inyecci&oacute;n de agua metanol de AEM Electronics est&aacute;n disponibles en diferentes tama&ntilde;os que le permiten seleccionar la cantidad apropiada para su nivel de potencia. Las bocas se pueden reparar y se pueden desmontar para limpiarlas.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Ford Focus 2.0T/2.3T MK3 2012-2018</li>
</ul>",,,/filtro-de-aire-de-reemplazo-ford-focus-rs-2-3t-2016-2018/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/115/images/876/AE-20993__50087.1729227690.386.513.png?c=1,,,TRUE,0,,,,
Product,117,"Bomba de gasolina de 380LPH universal",physical,50-1005,,product,2,1,4990.00,0.00,0.00,4460.00,52,1;769857,213;307,"<p align=""justify"">La bomba de gasolina AEM 380LPH (Litros/Hora) posee un gran caudal y est&aacute; dise&ntilde;ada para soportar alcohol/etanol en el combustible. Cada bomba es individualmente probada para un flujo m&iacute;nimo de 380LPH (100gph) a 43 PSI de presi&oacute;n.</p>
<p align=""justify"">Aplicaciones:</p>
<ul>
<li align=""justify"">Universal</li>
</ul>",,,/bomba-de-gasolina-380lph/,,,,,,,,FALSE,300.00,,,,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-jgugrzh88o/products/117/images/383/50-1005__76377.1729227690.386.513.jpg?c=1,,,TRUE,0,,,,
